,0
0,Maryland
1,West Virginia
2,Tennessee
3,New Mexico
4,Oregon
5,Missouri
6,Montana
7,South Carolina
8,Nevada
9,Illinois
10,Indiana
11,Rhode Island
12,Pennsylvania
13,Michigan
14,South Dakota
15,New York
16,Iowa
17,North Carolina
18,North Dakota
19,Colorado
20,Connecticut
21,Delaware
22,Texas
23,Idaho
24,Kansas
25,Florida
26,Maine
27,Kentucky
28,Virginia
29,Wisconsin
30,Nebraska
31,Oklahoma
32,Massachusetts
33,New Hampshire
34,New Jersey
35,Wyoming
36,Arizona
37,Vermont
38,Mississippi
39,Utah
40,Georgia
41,Minnesota
42,California
43,Hawaii
44,Louisiana
45,Washington
